operatorname,stop_id,pointgeo,stop_name,route_long_name,latitude,longitude,nom_commune,plans
RATP,IDFM:22082,"[ 48.869164825634897, 2.3093596665196281 ]",Franklin D. Roosevelt,1,48.8691648256349,2.309359666519628,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22090,"[ 48.867583959552555, 2.314397292025236 ]",Champs-Élysées - Clemenceau,1,48.867583959552555,2.314397292025236,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22087,"[ 48.859224713428162, 2.3457609541847755 ]",Châtelet,1,48.85922471342816,2.3457609541847755,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22103,"[ 48.846238208060065, 2.4189623545327077 ]",Saint-Mandé,1,48.846238208060065,2.4189623545327077,Saint-Mandé,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22105,"[ 48.845406148393309, 2.4292049740990573 ]",Bérault,1,48.84540614839331,2.4292049740990573,Vincennes,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:462943,"[ 48.848169637597977, 2.3958259654514311 ]",Nation,1,48.84816963759798,2.395825965451431,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463181,"[ 48.86925069418826, 2.3094343257515821 ]",Franklin D. Roosevelt,1,48.86925069418826,2.309434325751582,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463013,"[ 48.873929264455327, 2.2951172138230334 ]",Charles de Gaulle - Etoile,1,48.87392926445533,2.2951172138230334,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:22078,"[ 48.878162653644551, 2.2825838473615496 ]",Porte Maillot,1,48.87816265364455,2.2825838473615496,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
RATP,IDFM:463193,"[ 48.891995588868021, 2.2383579200010373 ]",La Défense (Grande Arche),1,48.89199558886802,2.2383579200010373,Puteaux,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-1.pdf"", ""label"": ""Plan Métro 1""}]"
